0.36	4.34	Estamos en directo en Twitch y en TikTok. Tu voy
4.34	9.50	a por piedra eh. Iniciar live. Ah mira ven que
9.50	12.66	te quiero enseñar una cosa que he pensado. Aparte de
12.66	16.92	las conexiones de por arriba. Si. Estamos en directo eh.
18.16	32.92	Hola gente hola hola hola hola. Vale, te cuento, ven
32.92	37.68	por aquí conmigo. Espera. Si, si, me espero. Espera. Espera
37.68	43.34	una cosa. Ay, croqueta, tiene que estar muy sabrosa en
43.34	50.20	la boca. Que te metan. Ay, Vicente, con el este
50.20	60.18	vivo buboso y el interior muy crumiente. Hola, José. José
60.18	72.76	no, Ginovani José Trujillo Dime A parte de las conexiones
72.76	76.66	de por arriba He pensado en esto, en hacer un
76.66	81.10	pasadillo por dentro, ¿no? Por abajo Entre torres A ver
82.16	87.02	Hay que poner escaleras y todo eso Aquí podemos poner
87.02	96.74	titanes, ¿no? Barras, barras. ¡Ah! ¡Pensalas! ¡Pensalas! Pues efectivamente, ¿qué
96.74	111.00	te parece? Muy inscuro. ¿Vale? ¡Ah! Ya solucioné lo de
111.00	113.06	la nieve. No va a nevar más, ¿eh? ¿Por qué?
114.24	116.24	O sea, no va a nevar tanto, va a nevar
116.24	121.58	cuando toque, no cada cinco minutos. Vale. Vale. Que estaba
121.58	124.34	puesto, como teníamos esto de las tormentas y tal, esto
124.34	127.10	de los mods, esto de mierda. Sí. Estaba puesto que
127.10	133.10	nevara muy seguido. Ah, vale. Y lo he puesto en
133.10	137.86	que esté mayormente, que vaya siendo aleatorio, va a llover,
137.86	140.42	va todo. Pero es que antes estaba puesto que estuviera
140.42	147.40	constantemente cambiando. ¿sabes? y tampoco era la nieve pero espero
147.40	151.16	que no se quede la nieve puedo quitar la nieve,
151.16	154.34	eh. Toda. La de la que está cerca, puedo quitar
154.34	157.40	toda la nieve, eh. Bueno, a ver si se va
157.40	159.54	sola y si no la quito. A ver, la verdad
159.54	162.44	que es una toca de polla, ¿no? Puede dormir, por
162.44	168.12	favor. Voy a quitar un poco de tierra y voy
168.12	170.42	a la mina. Voy a por diamantes y esas cosas.
172.62	176.88	Ok, yo voy a por piedras ya. He querido dormir,
176.88	182.34	pero ya le vas a planar uno. Pero ya hemos
182.34	185.58	que hacer aquí, si te parece bien, un huequito con
185.58	191.80	lava para tirar la mierda, ¿no? O cactus. ¡Hombre, Sao!
192.32	196.74	Buenos días o buenas tardes. Buenas noches. ¿Cómo estás? Así
196.74	204.52	es de aquí de España. ¡Hombre, Giovanni! ¡Zrujillo! No me
204.52	207.12	lo puedo creer, se han ido el mayor de los
207.12	211.92	mayores. Bueno, el mayor de los mayores... Es el mayor.
213.14	214.62	Si no me ha quedado un poco como si estuviera
214.62	218.42	llamando viejo, ¿no? Si, la verdad que... Si, un poquito,
218.42	224.68	perdona. Que tu no eres mayor, que gancho. Así es,
224.68	230.42	¿no? Vale, que tu no era la mina. Vale. Vale.
231.66	237.40	¿Quieres mirar lo del GTA Roleplay? Si, eh. Madre mía,
237.40	242.94	esto está más oscuro. Esto da más miedo que no
242.94	246.98	lo voy a decir. Que algo. Que una noche de
246.98	254.82	travesura de Jandro. Si. Que un videocormo de Jandro. No,
254.82	260.82	no, por Dios, no. No, no, no, no. Una de
260.82	264.50	las peores de mis pesadillas, eh. Hay que hacer un
264.50	271.50	video con Alejandro. Ese sería uno de mis sueños, ¿no?
270.52	280.70	¿Qué? ¿Qué? Raro, raro. Ay, creo que tan... tiene que
280.70	284.66	estar mi sabrosa. Al que pasa que... Shao, Giovanni, que
284.66	286.22	os ha comido la lengua de gato que no habláis
286.22	288.06	ni decís nada. No es que no están en directo,
288.06	291.42	se lo han pasado ya. Lo han pasado ya, ok.
291.62	298.08	La gente... Bloqueado. La gente tío, la gente tío. Le
298.08	301.54	das la mano y te crucen hasta los huevos. Los
301.54	306.86	huevos me pican ahora. Tampoco le falta la información. Que
306.86	314.22	por mis fans. Por mis fans lo que sea. No,
314.22	317.64	pero la verdad lo de Teresa me ha jodido. Hombre,
317.64	322.48	está mal. Yo pensaba que éramos amigos. Amigos no, pero
322.48	331.94	una relación de trabajador y empleado. Amigos, amigos. Hola Adri,
331.94	337.86	hola... Hola todos. Hola Xitz, hola Yago. ¿Qué tal Yago?
337.90	341.94	¿Qué tal todos? ¿Cómo estáis? Bienvenidos a un directo. Se
341.94	349.94	ve bien, ¿no? Pero bueno, mira, si ha querido hacer
349.94	353.18	eso, pues nada. Yo creo que al igual ha sido
353.18	359.92	el novio. Así. Puede ser. Pasa que igualmente... Raro, ¿no?
360.10	363.14	Sí, me ha bloqueado hasta en mi cuenta normal, ¿eh?
363.14	365.30	Que ya ves tú. Creo que ha hablado yo con
365.30	367.48	Teresa, ¿no? Que le dije aquel día, estamos en directo.
367.90	371.40	Y no ha hablado más con ella. No, igual se
371.40	374.92	ha rayado. Dicen pesados. Pero ya le dijimos, digo, si
374.92	377.18	no quieres hacerlo, no hace falta que lo hagas. No
377.18	381.08	es un compromiso que ella se ofreció. Nosotros dijimos, ¿sabes
381.08	384.64	editar? Ella dijo que sí. Y lo hace muy bien.
385.40	392.76	Sí, sí, sí. Pero... Hola, María. Hola. Pero bueno, no
392.76	404.16	hay igual. No pasa nada. Nosotros lo hicimos con buena
404.16	425.14	fe, ¿eh? Gran Asamoa. Hola. Hola, Gran Asamoa. ¿Cómo estás,
425.14	435.82	María? Diamante, diamante... Qué gusto la vengo. Entonces la semana
435.82	438.66	que viene no puedes ir a jugar al fútbol. No,
438.66	445.90	yo no voy a ir en una temporada. Ahora que
445.90	452.72	está cogiendo mi racho de futbolista. Yo no, yo nada,
452.72	459.06	yo nada. No, no, no. Primero el pie, luego... Vamos.
465.14	468.50	Bueno, no pasa nada. Tenemos un partito aquí en casa
468.50	477.46	vosotros. Bien, bien. Aquí en nuestra casa también. Básicamente, básicamente.
477.46	482.12	Aquí estamos. Directo tranquilo, chill, que estamos reventados de ayer
482.12	486.92	del fútbol. Es lo que pasa cuando pones a dos
486.92	492.62	señores mayores a correr detrás de una pelota. No hablo
492.62	498.86	por mí, ¿eh? No, por Jandro y Denisse. ¿Denisse es
498.86	506.20	mayor, no? Denisse es de la de Jandro. 2 años
506.20	509.46	más. El Arnau, que es el que es malo, ese
509.46	515.88	tiene 26 años. Y el David también tiene 26 años,
515.88	521.26	el altote ese. Y luego está el Carlos, que no
521.26	523.94	ha venido, que tiene 28 o 30, pero parece que
523.94	530.36	tenga 35. ¡Hombre! ¡Carmiña! ¡Carmiña! ¡Hombre! Y Paul, ¿puedes parar
530.36	561.72	de faltarnos? ¿Como está nuestra manager? ¡Sacame! El Arnau no
561.72	564.84	era... Bueno, a ver... Le costaba, pero bueno, como a
564.84	568.00	mí. O sea, yo no considero que era malo. Es
568.00	572.58	malo, malo. Pero malo... Es que malo... Malo soy yo.
573.74	577.02	Pero... El Arnau también es mal. El Arnau es malo.
577.30	580.02	Sí, pero... Pero por ejemplo, él corría y llegaba a
580.02	583.68	la pelota para chutar. Yo no... Claro, lo que tiene
583.68	586.58	es eso, que tiene físico, o sea, físico... Porque él
586.58	590.04	hace crossfit, tal... ¿Te estás insinuando, Fabi? No, no, no,
590.04	591.82	no lo digo por ti, me lo quiero comparado con
591.82	594.74	los demás. Él siempre lo dice, que lo bueno que
594.74	597.78	tiene es que corre, que es malo. Él lo reconoce,
597.78	599.78	dice yo soy malo, lo que pasa es que corro.
602.60	607.22	Bien, estamos bien aquí. Luchados, con agujetas. Todavía bien, bien.
607.86	611.56	Ya. A ver, ayer tenía ganas de subir para arriba,
611.56	613.96	eh. No te voy a mentir. Pero haber subido. No,
613.96	618.10	porque luego no baja nadie. Entonces... Ya. El pobre Denis,
618.10	620.56	que no se podía mover. Me parece que me decía
620.56	624.88	un cojo. Yo estoy del pie, Isma. Me duele una
624.88	629.98	barbaridad, eh. Vale. Tengo que ir luego con el villano.
629.64	631.44	No quiero ir hoy, pero voy a ir al médico,
631.44	634.60	eh. Pero yo no sé por qué corres tanto. ¿Y
634.60	639.64	te duele el pie? Hola Pedro, hola Edward. Hola. Creo
639.64	643.10	que Carmiña se ha ido. ¡Carmiña! Carmiña, no nos hagas
643.10	651.68	esto, la verdad que... Teresa 2.0 Carmen, tú no te
651.68	657.02	vas a editar, ¿no? No te vas a manigar, ¿no?
657.02	661.54	Teresa, eh... ¿Teresa Carmen? ¿Teresa? ¿Teresa? ¿Qué feo, Carmen, que
661.54	666.34	te ha llamado Teresa, eh? ¡Ah, es mi Tere! Te
666.34	672.00	echa de menos, vuelve por el isma. Te había imaginado
672.00	676.14	ya una vida contigo, Teresa, editando vídeos, que te iba
676.14	687.62	a llevar hasta la velada. de la vida. Lo peor
687.62	691.46	de la decepción es que nunca viene de un enemigo.
691.46	693.82	Hay de la traición, de la decepión, ¿verdad? De la
693.82	696.40	traición, de la traición. De la decepcion me decepcionas cada
696.40	705.64	día. Que mentiroso, ¿eh? ¡Vada, Nico! ¡Vada, Nico! ¡Nau, qué
705.64	706.60	asco le tengo yo que asco le tengo yo a
706.60	710.38	este material tío, madre mía por dios que hay terremotos
710.38	715.16	en las minas, hay terremotos terremotos, terremotos, terremotos, terremotos total
715.16	735.82	es duro me pongo en la mesa ay carmina ¿Te
735.82	740.18	dice la cámara? Nada. Ha ido. ¿Ha ido? Ha ido.
741.08	745.22	Ha ido. Ha ido. Es cierto. Es cierto. Me va
745.22	746.72	a tratar de ver si puedo sacar algún clip de
746.72	749.82	los directos. Y la misma que te dijo de lo
