0.00	12.14	Twitch también estamos en el aire Javi creo que me
12.14	30.88	he quemado de la playa vale, tengo el directo puesto,
30.88	41.78	bueno, pues, a seguir quitando tierra Hola, María Hola, María
53.78	59.48	¿Qué tal, María? ¿Te ha gustado el chiste de hoy
59.48	70.68	o tampoco? y no me gusta nada y no se
70.68	89.46	puede jugar. Vale, yo voy a seguir cogiendo un poquito
89.46	92.56	de tierra y yo creo que tendríamos que ir a
92.56	100.94	por diamantes porque nos estamos quedando sin... y el peor
100.94	120.78	de la serie, bueno tienes una maría Ahora que te
120.78	126.62	pregunto Está nevando, tío, lo va a llenar todo de
126.62	144.50	nieve otra vez Mare María, ¿por qué eres así? ¿Qué
144.50	157.78	te hemos hecho? dice que no le gusta, ninguna Que
157.78	167.20	es muy machista Todo lo malo Crees que Irene Montero
167.20	201.88	nos censuraría? Hola, mamán, loba ¿Cuántos años tenía mamaría? Mamaría
201.96	209.86	¿Está? ¿Está? Si, si, lo mismo que la grabaría, 2.008
211.14	220.28	¿0.9? 0.8 ¿He dicho 2.008? ¿Qué? He dicho 2.008 ¿He
220.28	234.08	dicho 2.008? Se nota, se nota que pena que no
234.08	243.62	estoy Teresa Teresa, cuando hagas el clip del directo, recuperate
248.94	254.88	muy mal Teresa hola Paco 1, 2, 3 que tal
256.60	270.28	¿Cómo está usted? Estoy un poco gansa hoy, eh. La
270.28	276.06	playa gansa, eh. Tenías que ver al Aarón nadando. No,
276.06	279.80	no, parecíais unos personajes, ¿no? Ah, muy bien, muy bien.
279.80	285.38	Tú parecías muy normal ahí en la silla. Sí. Hola,
285.38	298.30	Renovano Me da pintas nadando Me da pintas nadando El
298.32	306.82	Vigilante de la Playa Tienes que... Dice natación, eh, cuidado
307.56	312.30	¿Eh? Dice natación, eh ¿Eh? Tengo una medalla, de hecho
312.94	330.30	A ver, eh es multifuncional, eh? si es como un
330.30	348.52	aro, el aro nezdi es internacional es que el aro,
348.52	355.86	a ver, aro, si estas aqui, tu no eres gitano,
355.86	359.02	he visto fotos tuya hace unos años, y eres el
359.02	362.40	mas fallo que yo, date gitano ahora, pero eres mas
362.40	369.24	fallo que yo, vale, eso es un parco, a ver,
369.24	374.24	sin ofender, y ofendiendo, y ofendiendo, que no se tuve
374.24	381.26	la toma de capital con mi patadillo ese si que
381.26	384.68	falla creo que esta mi madre en el directo, mandale
384.68	393.84	un saludo hola, buenas mira como pone hola hola hola
400.50	408.94	habrá que antorchar un poquito esto, no? estoy aplanando un
408.94	420.88	poco la parte de fuera hola, Elena ¿Puedes quedarme miro?
422.10	439.80	Si Estoy durmiendo Pues lo que me da Hola Mariuchi,
439.80	444.60	Mari, Mari, Mari, Chuy Creo que lo he pronunciado bien,
444.60	455.10	si lo he pronunciado mal, Perdón. Hola, acá estás. Pues
455.10	457.52	a ver el Aarón. Es que en verdad no tiene
457.52	462.08	pinta de gitano. De gitano, cuando tú tienes gitano, pues
462.08	466.10	no es gitano. Sí, se ha ido a cenar con
466.10	471.60	amigos, creo. Es como lo que le dan a Star
471.60	475.04	Wars. que vaya amigos que tiene con un tortero del
475.04	480.34	mundo, que vaya mierda, no, no, no, que hombre, que
480.34	483.50	inciten a hacer lo que hizo, me parece muy mal
483.50	490.66	amigo, la verdad ya, la verdad que hostia, la verdad
490.66	500.26	es que si un poco, pero bueno, bastante, tanto Hola,
500.26	506.50	Carter Es para pensar, si tu, uno de tus mejores
506.50	509.26	amigos te incita a hacer lo que has hecho, es
509.26	511.16	una mierda de persona Tú me incitas a hacer cosas
511.16	526.34	peores A beber De solde si, te insisté tanto, si,
526.34	528.52	te insisté tanto, todos no me habéis pagado ni la
528.52	536.32	botella de bosta si, te la pagué te hago el
536.32	541.90	bison siempre me te haces los cubatas, la odia bosta
541.90	545.84	creo que no dije nada y el teo no ha
545.84	550.18	dado nada si que te pagué el alcohol porque te
550.18	554.32	hice un bison de 37 porque me pagaste los cubatas
554.32	560.60	de dentro de esos de... por eso, pero los cubatas
560.60	567.30	no valen 37 euros, te pagué la comida ¿comida? la
567.30	571.32	que hicieron, la de los canelones ah, claro, es que
571.32	577.78	se llaman 15 euros bueno, yo lo trajo en... en
577.78	582.54	la noche de... ¿cómo se llama? de barraqueos, yo te
582.54	590.92	invite a la botella de Jägger ahhh yo a 20
590.92	596.80	cubatas, no, pero... que va que estaba entera es que?
596.34	599.42	a la botella de Jägger que dice que es yo
599.42	600.00	a 20 cubatas, no? pero...
600.00	605.38	a 20 cubatas ¿A 20 cubatas me invitaste? No, es
605.38	607.96	una exageración No me invitaste a ninguno, te los pagué
607.96	611.98	todos al día siguiente Y luego, yo no bebí, fuera,
611.98	614.64	casi Y bebiste El que me abrió fue el Adon
614.70	618.84	No, no, no Pero bebiste, pero bebiste Antes de entrar
618.84	620.84	bebí muy poco Pues como las veces que he pagado
620.84	623.02	yo las botellas de Jägger Pero siempre te las he
623.02	626.36	pagado todas A mi eres el que menos le puedes
626.36	630.42	decir eso una polla ahí, o de ellas, que te
630.42	632.90	he regalado yo, bueno, no, no, no, no, a mi
632.90	635.22	eres al que menos le puedes decir eso, porque siempre
635.22	638.54	te he hecho los bism, si, si no, no, cuando
638.54	643.54	íbamos a Cache, tengo bism de todas, no, de todas
643.54	646.66	no, si Javi, conmigo, a mi no, a mi no,
646.66	648.52	con todas no, que no pasa nada, que es el
648.52	655.68	otro único, pero de todas no me hace sacar los
655.68	662.58	bifes yo creo que todo te lo he pagado siempre
666.66	670.94	el teo no, el teo es un cabrón el teo
670.94	672.56	te debe aún la tarta de queso de mi cumpleaños
674.30	676.60	que? el teo te debe aún la tarta de queso
676.60	691.40	de mi cumpleaños verdad ¿Hay alguien en Twitch? No he
691.40	699.36	mirado Y cuando me he metido no había nadie En
699.36	711.54	teoría no hay nadie Hola, Esther Hola, Ana ah no,
711.54	729.82	a que nunca falla tampoco como esta desaster, no sales
729.82	737.86	hoy, es que hay el lunes ¿Ves que la estriola
737.86	741.10	que lo vean se lee muchas veces de fiesta? Si,
741.10	745.64	si, lo veo, o sea Super amiguis Eso lo dije
745.64	758.06	yo, a ver, a Paola Besties Besties Hola, Paola Hola
763.26	766.18	Pero hay 7 personas viendo como grito tierra, que es...
765.72	779.76	Jajajaja De una... calurrosa bienvenida al mejor ordenador del creador
779.68	788.22	¿Qué? Hombre, jaca Ah, uno, nos han enviado rosas, ¿quién
788.22	795.48	se están enviando rosas? Muchas gracias Sigue, sigue, sigue dando
795.48	801.30	rosas, sigue dando rosas ¿No hay nada más caro? Mándame
801.30	807.34	un ramo, mándame un ramo Y sigue, y sigue, sigue,
807.34	813.40	sigue Enhorabuena, iluminó rosas en la galería de regalos de...
813.06	826.94	Mándame un diamante Tengo una misión para ti Para mi?
827.42	833.74	Tienes que traer mavera Tira con tierra 8 rosas, 10,
833.74	837.54	13 rosas, enviate 7 mas que me gustan los números
837.54	842.84	redondres Vale no me he equivocado eh, la torre era
842.84	846.26	la esta bien Uy, un follow nuevo en Twitch Ojo,
846.26	848.32	la torre la tengo bien eh, me refiero de que
848.32	854.44	no he hecho nada mal eh ¿Has visto...? ¿Puedo postar...?
854.44	866.46	¿Qué? No entiendo inglés. ¿Puedo postar por alguna razón? Espera,
866.46	874.58	un momento, te traducido. ¿Qué tal, Víctor? Te traducido. Tis
874.58	877.62	de bastante desat... así que te he seguido. Has escuchado,
877.62	881.16	echado un vistazo a Twitch, talentnet, por alguna razón no
881.16	886.98	puedo publicar enlaces aquí. Ah, no, no, I don't listen
886.98	900.84	your... Your web. si, aza, no te va a dar
895.04	900.68	¿Que quiere? ¿Mandarnos alguna de ellas? Si, otra, otra igual
900.24	914.72	Venga, hace reviviento, compañero ¿Que no busca tanto la... Bueno,
914.72	919.32	son bots, que... He disfrutado de transmisión, ¿sabes? No hablan
919.32	925.48	ni mi idioma ¿Que ha dicho? que disfrutan nuestra transmisión,
925.48	932.58	no habla ni nuestro idioma he disfrutado ya un día
932.58	938.12	en el día o nada ¿No es para seguir yo?
938.42	950.10	si este, bueno, que disfrutes, si nos siguen, disfrutes ¿entiendes
950.10	989.56	español? ¿Tienes entendido español? No ¡Sí! Aquí rogando dinero ¿Qué?
990.44	1001.88	Aquí rogando dinero Aquí rateando Pero yo no sé cuánto
1001.88	1003.82	valen las rosas estas, pero yo creo que a ellos
1003.82	1007.12	les salen más caros Ya, pero a ellos les salen
1007.12	1010.20	más caros Creo que ellos el mínimo de poner es
1010.20	1015.78	un euro Entonces tienen un montón de rosas O sea
1015.78	1020.12	que se guardan rosas, eh, no notan todas, eh Ah,
1020.12	1027.20	ahí vienen ratillas, eh Ten amigos para esta Así que
1027.20	1029.04	con la tontería al final vamos a sacar aquí dinero
1030.44	1039.48	Ese caballo Este Rubén González Rodríguez Bueno, no quiero la
1039.48	1045.56	sentida ya, pero He gastao, a lo mejor he gastao
1045.56	1049.54	60 sables de piedra o más, eh Cuanto hay en
1049.54	1062.08	el inventario? Hay unos treinta y pico por inventario Maaah
1062.56	1067.06	Mi madre sigue aquí, eh He gastado, vale, pues a
1067.06	1081.64	lo mejor 150 stacks de piedra, eh de la torre
1081.64	1088.90	general, osea en todo lo que llevamos de muralla, mira,
1088.90	1093.34	todo lo que es, no, no, no, y lo que
1093.34	1109.62	queda, pues llevamos un cuarto, ¿tos no? que barbarie, que
1109.62	1130.46	barbarie no, no, no, es una locura y hasta aquí
1130.46	1134.66	el último stack de piedra ahora hay que iluminar un
1134.66	1143.04	poco estas zonas si, yo voy a por, a dormir
1143.04	1158.32	a por piedra Y es verdad Sabe más de 100,
1158.32	1163.48	peligro, o esta quedando muy bien Hola Mario Hola Mario
1164.92	1171.00	Está quedando fino fino, eh Esa que no entiendo por
1171.00	1172.24	qué tiene que nevar aquí y la otra, tengo que
1172.24	1182.34	tirar aquí, esta torre de aquí es un poco más
1182.34	1194.70	grande que la de ahí ahora igual, no porque entonces
1194.70	1199.42	tengo que abrir todos un montón, la otra, tengo que
1199.42	1200.00	tirar
1200.92	1205.30	Toda la muralla Ya, ¿dormimos? Si, entonces se me va
1205.30	1208.06	a complicar, si, tengo que tirar toda la muralla, eh
1212.68	1225.20	Hola nombre Pia, botas cosas Podemos o avisar Vale, Javi,
1225.20	1231.14	Izme, hola, hola Carla ¿Cómo estás? ¿Como estas? Hola, Carla,
1231.14	1233.70	¿Como estas? Ha salido en un Tik Tok, no, Carla?
1233.70	1237.38	¿Eh? ¿Quieres un batido? ¿Quieres un batido? Ha salido en
1237.38	1243.56	un Tik Tok Ah, si, de que? Si De que?
1243.56	1247.80	De esto, si que estas haciendo problemas por aqui, por
1247.80	1252.52	aqui, por aqui, este chico, soy famosa Más que nosotros
1253.90	1261.84	Si, y mira que pico, si no queda nada de
1261.84	1267.98	piedra, eh oh, 21, oh, si que me queda piedra,
1267.98	1274.76	me quedan 3 stacks hola, maria, maria viene, se va,
1274.76	1280.08	hola, maria, que maria, a darle canta ya, pero porque
1280.08	1283.92	no le gusta, si no te gusta, no te esfuerces
1283.92	1286.52	en merlo, osea, no es por nada, eh, pero... pero...
1286.72	1291.48	¿Qué se dice? ¿Qué? ¿Apúrre? Bueno, pues sí. Bueno, pues
1291.48	1295.74	no sé cómo tomarme eso, pero... Yo qué sé, ahora
1295.74	1298.82	me lo dije hace tiempo, eh. No sé si seguirá
1298.82	1303.76	pasando. Pero hace tiempo aburría. Pero no sé si no
1303.76	1306.16	le gusta... Pero sí que me gusta, pues me dijiste
1306.16	1310.28	que te aburrían. Claro, es normal que no entiendas muchas
